investors,no_of_investments,invested_amount
"Helion Venture Partners, BeeNext",1,70350000
"Aavishkaar Venture Management",1,67000000
"YourNest Angel Fund, iSON",1,67000000
"Omnivore Capital",1,67000000
"Silver Range Investments, Lumina Datamatics, Shun Yoshida & Others",1,67000000
"Vijay Shekhar Sharma, Pravin Gandhi,Â  Smart Start Fund; Kunal Shah,Â  Sandeep Tandon, Vishal Gondal, & Others",1,67000000
"Mayank Shah, Shreyans Shah",1,67000000
"hooting Starts Sports LLP, Franchise India Brands",1,67000000
"Karanpal Singh & Others",1,67000000
"Swastika Co Ltd.",1,67000000
"Endiya Partners",1,67000000
"Binny Bansal, Anupam Mittal, Sachin Bhatia, Darius Pandole, Kunal Khattar, Dheerag Jain",1,67000000
"Blume Ventures, Sachin Bansal, Vijay Shekhar Sharma, Binny Bansal,Â  Kunal Shah, Sandeep Tandon, Ashish Tulsian",1,67000000
"Undisclosed HNI investors",1,67000000
"YourNest Angel FundÂ  & Others",1,67000000
"Nihon Kotsu Co",1,67000000
"Sarath Sura",1,67000000
"Saama Capital, Blume Ventures & Vaibhav Domkundwar",1,67000000
"S Chand, AdvantEdge Partners",1,67000000
"DTDC Express Ltd",1,67000000
"Kris Gopalakrishnan, Dr. Ranjan Pai",1,67000000
"Pravin Khandelwal, Yatin Kumar Jain",1,67000000
"Mount Nathan Advisors",1,67000000
"Blinc Advisors, Amit Nanavati, Tashwinder Singh, Taranjit Jaswal, Amit Khanna",1,67000000
"YourNest Angel Fund,",1,67000000
"PurpleTalk Inc",1,67000000
"Mohit Goel",1,67000000
"S Chand and Co Pvt Ltd, Blume Ventures",1,67000000
"Dunamis Ventures Pte Ltd.",1,67000000
"Saha Fund, TV Mohandas Pai, Zia Mody, Mumbai Angels, Ananda Kallugadde, Rakesh Desai, Rakesh Malhotra",1,67000000
"Alok Rawat, Grey Orange Robotics",1,67000000
"Sunil Mehta",1,67000000
"GrowX Ventures, Kunal Shah, Sandeep Tandon, Haresh Chawla, Powai Lake Ventures, Globevestor",1,67000000
"Nitin Bagmane & Other undisclosed investors",1,67000000
"Arjun Handa, Amit Jindal, Nagendra Chaudhary",1,67000000
"TV Mohandas Pai, LetsVenture",1,67000000
"Un disclosed investors",1,67000000
"Reliance Corporate Advisory Services Ltd",1,65330000
BCCL,1,65330000
"India Quotient, Shunwei Capital",1,65330000
"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",1,65330000
"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",1,65330000
"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",1,65330000
"Nexus Venture Partners, Mekin Maheshwari",1,65330000
"Abhinav Bindra, Gaurav Marya",1,65330000
"Ajay Relan, LetsVenture",1,65330000
"Ayesha Takia Azmi, Abu Farhan Azmi",1,65330000
"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",1,65330000
"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",1,65330000
"IDFC Parampara Early Stage Opportunities Fund",1,65330000
"Brand Capital, Paragon Trust",1,65330000
"Singularity Ventures",1,65330000
"Anand Sankeshwar, Yang Shu",1,64521000
"Rajan Anandan, Zoya Akhtar, Reema Kagati, Ruchi Narain, Amrish Kumar, Hrishikesh Parandekar",1,64080000
"Medi Assist",1,64080000
"Blume Ventures, Flipkart",1,64080000
"Sharad Hegde, Girish Reddy, Siddharth Patil, Shrikant Patil",1,64080000
"Info Edge",1,64080000
"IDG Ventures, M & S partners, Powerhouse Ventures (USA).",1,64080000
"DSG consumer Partners, Paragon Partners",1,64080000
"Seedfund, Bedrock Ventures",1,64080000
"Mumbai Angels, Mayank Bhangdia, Kae Capital",1,64080000
"Group of HNI investors",1,64080000
"Anil Matai, Vikram Tandon, Shyam Sundar R & others",1,64080000
"Kanwaljit Singh, TV Mohandas Pai",1,64080000
"ah! Ventures, Viktor Koenig PE Fund, Mantra Ventures",1,64080000
"Reliance Capital Venture",1,64080000
"NEA, Milliways Ventures, Naya Ventures",1,64080000
"GrowX ventures, Tracxn Labs, Powai Lake Ventures, and Sahil Barua",1,64080000
"The Chennai Angels, IDG Ventures India",1,64080000
"Gokul Jaykrishna, Brand Capital",1,64080000
"Mumbai Angels, Vriddhi Fund, Others",1,64080000
"Sandeep Parwal, Krishan Gupta & Others",1,64080000
"Ventureworks India, Blume Ventures, Batlivala & Karani Securities, Nikunj Jhaveri",1,64080000
"Holostik Group, YouWeCan Ventures, 500 Startups, Vijay Shekhar Sharma, Manish Kheterpal, Amit Patni",1,64080000
"Mape Advisory",1,64080000
"S.Gopalakrishnan, Beenos",1,64080000
"Peesh Venture Capital",1,64080000
"Astarc Ventures",1,64080000
"Rakesh Mathur, Vikas Taneja & others",1,64080000
"Oliphans Capital, Haresh Chawla",1,64080000
"Bessemer Ventures, Blume Ventures",1,64080000
"Michael and Susan Dell Foundation",1,60300000
"Paul Roy",1,59630000
"Reliance Capital",1,57672000
"Helion Venture Partner, Powerhouse Ventures, GSF and Other angel investors",1,57672000
"Narottam Thudi, Shireesh Palle",1,55530500
"K2 Capital",1,53897250
"BlackSoil Capital Pvt Ltd",1,52264000
"Menterra Social Impact Fund, Unitus Seed Fund",1,52264000
"Swarnim Multiventures",1,51264000
"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",1,50696080
"Ramesh Jogani, Shailesh Viswanathan, Jay Srinivasan",1,50302800
"Next Orbit Ventures Fund",1,50250000
"Aarin Capital, Michael Herzig, Ashish Lakhanpal",1,50250000
"Prime Venture Partners,",1,50250000
"Lalitesh Katragadda,Â  Ganayantrika Systems",1,50250000
"Ankur Gupta",1,50250000
"Currae Healthtech Fund, Unicorn India Ventures",1,49915000
"500 Startups, TV Mohandas Pai, Tandem Capital, Vikram Chachra, Aloke Bajpai",1,49341600
"Quintillion Media, 500 Startups",1,49341600
"YourNest Angel Fund, Venture Nursery",1,48060000
"1Crowd, Eureka Forbes Ltd, Shapoorji Pallonji & Co. Ltd.",1,46900000
"Kae Capital, M&S Partners,",1,45731000
"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",1,45731000
"SeedPlus, Infocomm Investments, Accel Partners RNT Associates",1,45225000
"CareerNet Consulting Pvt. Ltd, Ideation Initiative Pvt. Ltd,",1,44890000
"Uniqorn ventures, ASP Consulting",1,44856000
"Chennai Angels, Calcutta Angels, ah! Ventures, Intellecap Impact Investment Network, Indus Age Partners, Singapore Angel Network, India Internet Fund, LetsVenture",1,44856000
"Pradyumna Dalmia, Sudhir Rao & Others",1,44856000
"LetsVenture, Kumar Bansal, Kshitij Jain",1,43894800
"Kae Capital, Khosla Impact",1,43550000
"Aspada Investment Advisors, Blume Ventures.",1,43550000
"WaterBridge Ventures",1,42464500
"Mumbai Angels Network, Fireside Ventures, Singapore Angel Network",1,42464500
"Kunal Bajaj, Chandru Badrinarayanan",1,41652000
"Atul Jalan, Shrikanth & Bharath",1,41011200
"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",1,40504600
"Bessemer Ventures, Kae Capital",1,40370400
"IDG Ventures, Axilor Ventures",1,40200000
"Noshir Kaka, Subramanian Ramadorai, Kiran Deshpande, Pankaj Gupta, Ravi Nigam & Others",1,40200000
"Tracxn Labs, Hyderabad Angels, Kunal Shah, Gaurav Bhalotia",1,40200000
"Blume Ventures & Other unnamed Investors",1,40200000
"Indian Angel Network, Tracxn Labs & Others",1,40200000
"Kae Capital, Anoop Goyal, Mike Shah, VA Sastry",1,40050000
"Abhishek Agarwal, Krishnakumar Nataraj, Sarath Sura, Shanti Mohan, Sarthak and Nihit Agarwal, Suramya Gupta",1,39865000
"ABI-Showatech (India) Ltd",1,39198000
"SQue Capital",1,39198000
1Crowd,1,39198000
"Sashi Reddi, Gabriel Investments",1,38448000
"Lensbridge Capital, Mape Advisory Group, Fireside Ventures",1,38448000
"Gordon and Betty Moore Foundation",1,38448000
"Raghav Bahl, Ritu Kapur",1,38448000
"High Networth Individuals (No details)",1,38448000
"ah! Ventures, Times Internet, Rudy Gopalakrishnan",1,38448000
"LionRock Capital",1,38448000
"Undisclosed Ex Mckinsey Directors and Partners",1,36850000
"GrowthStory, Apurva Salapuria, Hitesh Oberoi, Sidharth Pansari, Nirupa Shankar",1,36850000
"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",1,35278200
"Rishi Vasudev, Amit Gupta, Rajiv Nayan",1,35244000
"Ravi Krishnamurthy",1,33962400
"Indian Angel Network, Letâ€™s Venture",1,33500000
"TVS Group",1,33500000
"Nitin Passi, Manickam Mahalingam, Udaan Angels, Rajesh Arora, Arkas Industries",1,33500000
"Existing Investors",1,33500000
"Anupam Mittal, Sharad Sharma & 14 others",1,33500000
"Powerhouse Ventures, M&S Partners",1,33500000
"Mohit Lalvani",1,33500000
Instalabs,1,33500000
"Zaffiro Ventures",1,33500000
"Kae Capital, Kunal Shah, Sandeep Tandon",1,33500000
"CIO Angel Network, Indian Angel Network",1,33500000
"Blume Ventures, Rajan Anandan, Sumit Jain, Aprameya Radhakrishna, Sujeet Kumar, Phanindra Sama",1,33500000
"Chatsworth Management, ITW Digital",1,33500000
Ninestarter,1,33500000
"RB Investments, Fundnel",1,33500000
"Ruchirans Jaipuria, Anuj Sanghi",1,33500000
"Rebright Partners, Sol Primero, Sudhir Anandarao, Ankur Warikoo, Ankur Singla",1,33500000
"Broadbean Capital services",1,33500000
"Jay Vijayan",1,33500000
"Blume Ventures,Â  Tracxn Labs",1,33500000
"Rob Chandra",1,33500000
"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",1,32665000
"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",1,32665000
"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",1,32665000
Rocketship,1,32665000
"JLL, 1Crowd",1,32665000
"Keyur Joshi, Pavan Bakeri",1,32665000
"Koen Bouwers, Lomesh Agarwal, Jeroen Mensen, Pablo van den Bosch & Others",1,32665000
"Deepak Gurnani",1,32665000
"Al Dhaheri family",1,32665000
"Indochine International",1,32665000
"Aarin Capital Partners, TV Mohandas Pai",1,32040000
"Rishi Parti, BrahmaX Ventures",1,32040000
"Dheeraj Jain & Others",1,32040000
"Rajan Anandan, Mike Galgon, Ravi Gururaj, Ashim Mehra,Â  Mohit Saxena, Internet Group, TNN Capital and others",1,32040000
"Mount Nathan Advisors Pte Ltd",1,32040000
"Karnataka Semiconductor Venture Capital firm",1,32040000
"Satyen Kothari, Keshav Sanghi, Riddhesh Gandhi & Others",1,32040000
"Ashvin Chadha, Avtar Monga, Udaan Angels, Dheeraj Jain",1,32040000
"BedRock Ventures, Rajesh Sawhney, Shailesh Singh",1,32040000
"Ravi Gururaj, Gaurav Sharma, Viswanath Ramachandran, RippleWave",1,32040000
"Wealth First, Ashneer Grover, Atul Phadnis",1,32040000
"Nihon Kotsu,",1,32040000
"Amit Ranjan, Vijay Shekhar Sharma, Kunal Bahl, Girish Mathrubootham &Â  Group of other Angel investors",1,32040000
"Orios Venture Partners, Amit Ranjan & others",1,32040000
"Tamarind Family Private Trust",1,32040000
"Jai Choi, Kiyohiro Sugashita, Hirokazu",1,32040000
"Kae Capital, Anupam Mittal",1,32040000
"Srinivas Tirupati",1,32040000
"i2india Pvt Ltd",1,32040000
"Mahesh Pratapneni, Pallab Chatterjee & others",1,32040000
"Mercury Fund, Anshu Sharma, Pratyush Prasanna, Robert Winters & others",1,32040000
"Sandiep Shrivatsava",1,32040000
"i2india Ventures",1,32040000
"The HR Fund",1,32040000
"Hyderabad Angels, Singapore Angel Network, Ness Wadia",1,31399200
"Infibeam, CCavenue",1,30443780
"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",1,30313120
"Mahindra Holidays & Resorts India Ltd",1,30150000
"Virendra Patel",1,30150000
"havya Sharma, Amit Nagar",1,30150000
"Keiretsu Forum",1,30150000
"Roopak Saluja, Vishal Khare",1,30150000
"Mirah Hospitality",1,30117600
"Subhash Goyal",1,30117600
"Augment Ventures, Rahul Kayan, Nikhil Golcha, Shubham Gupta, Roy Kwan",1,30016000
"Sreenivasa Reddy Musani",1,30016000
"Umang Kumar",1,29815000
"Venk Krishnan, MJ Aravind, Vikram Kotak, Jayant Davar,Â  Ramkumar Nishtal, Arjun Sharmaa",1,29480000
"Menterra Social Impact Fund",1,29480000
"Hyderabad Angels, M&S Partners",1,29476800
"Batlivala & Karani Securities, Venture Works",1,29398500
"Amit Singhal, PK Gulati & others",1,28836000
"India Quotient and others",1,28810530
"Blume Ventures, Girish Mathrubootham, Aprameya Radhakrishna",1,28745200
"Rebright Partners",1,28475000
"Bitkemy Ventures",1,26800000
"Dheeraj Jain & Other angel investors",1,26800000
"Alok Mittal, Amit Gupta, Anuj Srivastava, Himanshu Aggarwal, Raghunandan G, Puneet Agarwal",1,26800000
"Purvi Ventures & Others",1,26800000
"Varun Aggarwal, Suresh Venkat, Raj Y",1,26800000
"Pravega Ventures",1,26132000
"Aprameya Radhakrishna, Deepak Natraj, Girish Mathrubootham, Mahesh Murthy, Pallav Nadhani, Pavan Ongole, Sandeep Mathur, Vijay Shekhar Sharma & Others",1,26132000
"Phanindra Sama, Aprameya Radhakrishna, Aneesh Reddy, Neeraj Jawalkar, Sanjay Anandaram, Pavan Ongole, Venk Krishnan",1,25632000
"Oswal Techno Ventures LLP",1,25632000
"Bhavdeep Reddy",1,25632000
"500 Startups, Smile Multimedia, Kunal Bahl, Rohit Bansal, Girish Matrubootham",1,25632000
"Mohandas Pai & others",1,25632000
"Ajmera Group of Companies",1,25632000
"India Quotient, LetsVenture investors, Lead Angels",1,25632000
"Naveen Tiwari, Mohit Saxena, Amit Gupta, Piyush Shah, Manish Dugar",1,25632000
"Ah! Ventures, Calcutta Angels,Â  91SpringBoard",1,25632000
"Powai Lake Ventures, Ajeet Khurana & others",1,25311600
"Swan Angel Network,Sachin Khandelwal and others",1,25125000
"Group of undisclosed Angel Investors & HNIs",1,25125000
"Ojas Ventures",1,24956060
"Anupam Mittal, Amit Gupta, Utsav Somani, Neeraj Goenka, Farooq Adam Mukadam",1,24790000
"Riqueza Capital",1,24670800
"Carpediem Capital & Others",1,24656000
"Chandigarh Angels, Ashish Gupta, Rohit, Ashish Chand, Sunil Singh & Others",1,24498750
"Pix Vine Capital, Infocomm Development Authority of Singapore",1,24120000
"TV Mohandas Pai, V Balakrishnan, PV Srinivasan",1,23910780
"KWAN Entertainment & Marketing Solutions, Powerhouse Ventures & Others",1,23450000
"Qualcomm (Through QPrize Contest)",1,23450000
"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",1,22865500
"Quake Capital",1,22865500
"Ashish Todi, Abhinav Patodia, Kumar Shwetabh",1,22428000
"Sachin Bansal & Binny Bansal, Sol Primero, Outbox Ventures, Sangram Singh",1,22428000
"Uniqorn Ventures",1,22428000
"Group of 15 Angel Investors",1,22428000
"Mumbai Angels & Other angel investors",1,22428000
"Arihant Patni, Vishal Khare,Â  Viswanath Ramachandran",1,22428000
"S S Mukherji & Others",1,22428000
"BitChemy Ventures, Maheshwari Investments Pvt Ltd, Anshoo Gaur, Rama Krishna Reddy, Sandeep Seerapu",1,22110000
Taxmann,1,21708000
"Mohit Joshi & Others",1,21558900
"Ankit Gupta, Puneet Motihar",1,21232250
"Earlsfield Capital, Sailender Solanki, Rajiv Solanki",1,21105000
"Jayant Bokadia",1,20505600
"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",1,20317630
"mall Industries Development Bank of India (SIDBI)",1,20252300
"Nanadan Nilekani, InMobi, Paytm",1,20185200
"Kaushal Agarwal, Harminder Sahani, KK Mehra, Pranay Jivrajka, Navjot Saini",1,20100000
"Hemant Sahni",1,20100000
"Janak Jain",1,20100000
"Pradeep Mirani, Aqeel Ahmed, Anand Ladsariya, Nitin Agarwal",1,20100000
"Prashant Puri",1,20100000
"Indian Angel Network,",1,20100000
"Rajul Garg, Daljit Singh, Aditya Vij, Kishore Kumar, Shuchin Bajaj",1,20100000
"Vaibhav Doshi, Abhay Singhal, Vibhu Garg, Joby Babu, Abhishek Acharya, Manish Shah",1,20100000
"Farooq Oomerbhoy & Other angel investors",1,20100000
"Lothal Angel Ventures",1,19966000
"Swastika Investmart Ltd",1,19899000
"Kirthiga Reddy, Renuka Ramanath,Cherry Tin",1,19899000
"Vikas Agarwal, Vishal Khare, Sanjeev Kakkar, Smile Group",1,19864800
"Kunal Bahl, Rohit Bansal, Zishaan Hayath, Prashant Malik",1,19864800
"Sanjeev Sinha",1,19765000
"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",1,19599000
91maker.com,1,19599000
"Mahalingam K, Girish Mathrubootham",1,19599000
"V Aanand R",1,19599000
"Ram Kumar Kakani, Pradeep K Jaisingh, Sunil T V, Vijay Ghadge, Hemant Kaul, Gurmeet Chahal & Others",1,19544400
"Collaborative Licensing Ventures LLP",1,19416240
"Enablers platform",1,19224000
"Kemark Ventures, Amit Ranjan, Zishaan Hayath and Others",1,19224000
"Payal Syal",1,19224000
"Asha Jadeja Motwani & Others",1,19224000
"The 1947",1,19224000
"Manish Singhal, P39 Capital & Others",1,19224000
"Ritesh Veera, Singapore Angel Network, Orios Venture Partners,",1,19224000
"Ajay Relan,",1,19224000
"Bhupen Shah, Jayesh Parekh, Sanjay Sathe",1,17965750
"Phanindra Sama, Jay Sethuram, Hemant Kanakia, Ravi Trivedi",1,17301600
"Anand Chandrasekaran, Ananth Narayanan, Mekin Maheshwari, Ravi Garikipati, Divyesh Shah, Swastika Company Ltd",1,16750000
"Gaurav Singhvi, Zaffiro Ventures",1,16750000
"GEMS group",1,16750000
"Green House Ventures Accelerator",1,16750000
"Manish Kheterpal, Vinay Mittal, Dinesh Mittal, Sandeep Gupta",1,16750000
"Dr. Sridhar Ramaswamy, Rakesh Mathur",1,16750000
"Unicorn Ventures",1,16750000
"Alex Kuruvilla, Pradeep Guha, Saket Dhankar, Rajan Pandhare",1,16750000
"Zishaan Hayath, Abhishek Goyal, Arjun and Rohan Malhotra, Harpreet Singh Grover, Gagan Dugal",1,16750000
"Krishna Jhujhunwala, Dr. Apoorv Ranjan Sharma, Anirudh Damani, Anand Ladsariya, Sanjay Mehta & Others",1,16750000
"Equity Crest, Vinners, Sparknext",1,16750000
"Purvi Capital",1,16660800
"Dr Ramesh Ayyala, Satya Muthyala",1,16332500
"Ajeet Khurana Jinesh Shah, Vikram Chachra, Dr. Aniruddha Malpani",1,16020000
Swastika,1,16020000
"ID Enablers Pvt Ltd",1,16020000
"QPrize from Qualcomm Ventures",1,16020000
"Girish Mathrubootham, Phanindra Sama, Vikram Chachra, Others from LetsVenture",1,16020000
"Virendra Shahney, Dr Paresh Doshi",1,16020000
"M&S Partners Pte. Ltd",1,16020000
"Cross Border Angels & others",1,16020000
"Arun Tadanki, Aditya Verma",1,16005850
"Gujarat based angel investors, MMY co-Founder",1,15699600
"Sol Primero, Outbox Ventures, Nikunj Jain",1,15379200
"Bodhtree Consulting Limited",1,15156560
"Unicorn Venture",1,15075000
"Hari Krishna, Ajay Modani, Dr V Ravinder, Anirudh Rastogi, Abhishek Jain, Rakesh Gakhar, Rajeev Mudumba, Nagendra Prasad Bhanuprakash",1,14981736
"Aarin Capital",1,14740000
GREX,1,14738400
"Nalin Jain & other angel investors",1,14097600
"Purvi Ventures, Rajul Garg, Vipin Arora",1,14070000
iBhubs,1,14045950
"1Crowd (through crowdfunding)",1,14003000
"Kedar Lele, GHV Accelerator",1,13400000
"Dileep Bhatt, Milind Chaudhary",1,13400000
"Dheeraj Jain, Palash Jain, Anupam Mittal, Ameera Shah,Â  Vivek Bhargava, Rahul Singh, Ambarish Gupta,",1,13400000
"Mudit Saxena, Evan Lim",1,13400000
"1Crowd (through crowd funding)",1,13400000
"Outbox Ventures, Jaspreet Bindra, Arjun Malhotra, Rohan Malhotra, Sidharth Rao, Rakesh Agrawal",1,13400000
"Deepak Gupta",1,13400000
"BlackJag Partners",1,13400000
"Rohan Angrish, Hrishi Oberoi, Rahul Mehta, Kapil Hetamsaria, Pranav Dedhia",1,13400000
"Anirudh Damani, Vikram Lakhotia",1,13400000
"Rattan Chadha",1,13400000
"Lion Ventures",1,13400000
"Varun Khurana, Samar Singla, Vinay Bansal,",1,13400000
"Kanpur Angels & Others",1,13400000
"Nalin Jain, Shomil Pant, Dinesh Kundu & others",1,13136400
"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",1,13066000
"Indian Angel Network, Anand Mahindra",1,13066000
"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya",1,13066000
"Prashanth Ranganathan",1,12816000
"Prahlad Rao, Sundara Rajan, Vikram Chachra",1,12816000
"Amit Gupta, Sahil Barua, Mukul Singhal, Tracxn Labs",1,12816000
"Rimpal Chawla, Anuj Srivastava",1,12816000
"S Chand and Co Pvt Ltd",1,12816000
"Manipal Group",1,12816000
"Rudy Gopalakrishnan, ah! Ventures",1,12816000
"Ajai Chowdhry, Ashvin Chadha, Yogesh Bansal,Nitin Singhal & Others",1,12816000
"Ravi Saxena, Sandeep Raju,",1,12478030
"TermSheet, ah! Ventures",1,12395000
"Sean Oâ€™Sullivan & Others",1,12175200
"Now Capital",1,12060000
"Shruth & Smith Group, Hermes Group",1,12060000
"Chandrashekar Tallapragada, Pankaj Kapoor",1,12060000
"Astarc Ventures, 50K Ventures & others",1,11534400
"Tim Chen, Sanjay Venkat",1,11534400
"Nibhrant Shah, Anandbir Singh, Anirudh Sheth, Pratik Singhi, Vikram Mehta, Murali Nair",1,11432750
"Kunal Bahl, Rohit Bansal",1,10765440
"Elliot Stechman, Gautam Sinha, Ambarish Ray",1,10765440
"Yajnanarayana Kammaje",1,10720000
"Amit Tyagi, Sandeep Acharya & others",1,10573200
"Hyderabad based investor",1,10573200
"Rajan Anandan, Kunal Bahl, Rohit Bansal, Rahul Khanna",1,10316880
"Intellecap Impact Investment Network, family office fund",1,10252800
"Equentia Natural Resources",1,10252800
"Malini Patel, Stelcore Management Services, Anjani Prasad",1,10126150
"Lead Angels Network, Anbu Pandian, Prabhakar MR & Others",1,10050000
"Ameera Shah, Vivek Bhargava",1,10050000
"Shekhar Sahu, Nitesh Pant",1,10050000
"Newbie Promoters",1,10050000
"Dr. Rameshwar Kumar",1,10050000
"Balasubramanian Krishnamurthy, Sidhartha Hazarika & Others",1,10050000
"Rahul Kirloskar, Fusion Tech Ventures, Adi Saravanan, Pravin Dongre, Mahendra Doshi",1,10050000
"GROUPE SOS",1,10050000
"Dr. Aniruddha Malpani",1,10050000
"Funding through 1Crowd platform",1,10050000
"Bharanidharan Viswanathan, Sanjiv Mittal, Shobhit Shukla, Rahul Agarwal",1,10050000
"Bhanu Vikram Parsotam, Rohan Desai and Paras Patel",1,10050000
"Rajasthan Angel Investor Network & Others",1,9983000
"Vivek Bhargava, Ameera Shah",1,9849000
"Undisclosed multiple investors",1,9849000
"Rajan Anandan, L.D Sharma, Saurabh Arora",1,9799500
"Aneesh Seth, Tushar Mittal",1,9799500
"Ankush Mehta",1,9715000
"Kapil Goel",1,9715000
"LetsVenture, Mohandas Pai",1,9612000
"Mahavir Pratap Sharma",1,9612000
"Varun Ahuja, Anubhav Verma",1,9612000
"Vineel Nalla & Others",1,9612000
"Jozef Bardik, Leo Wang Sangeeth Ram",1,9612000
"High Networth Individuals (undisclosed)",1,9612000
"R M Picture Company Pvt. Ltd.",1,9612000
"Multiple investors",1,9612000
"Rajan Anandan, Niraj Singh, Sachin Bhatia, Singapore Angel Network & Aseem Vadehra",1,9612000
"Florida based Angel investor",1,9612000
"Ajith Nair, Anish K",1,9603510
KCL,1,8971200
"Jayabalan Subramanian",1,8375000
"Rajesh Bhatia, Dheeraj Mehta & Others",1,8330400
"Y Combinator",1,7839600
"Group of Angel Investors from US/India",1,7689600
"Rajesh Sawheny , Rajan Anandan, Amit Ranjan, Niraj Singh, AECAL, MeraEvents.",1,7689600
"Rannvijay Singh, Anita Hassanandani",1,7236000
"Raghu Khanna, Sameer Gupta",1,7048800
"Ashutosh Lawania, Rajul Jain, Badal Malick, Rishi Gupta & Others",1,6968000
"Sanjay Mehta & Others ( The Ten Minute Million)",1,6924980
"Digital Financial Service Lab",1,6700000
"Krishna Rokhale",1,6700000
"HAX Accelerator",1,6700000
"Lalit Vase",1,6700000
"Ganesh Narasimhan, Ramana Thumu, Sudhir Mallem",1,6700000
"Riju Gupta, Kamal Chabra",1,6700000
"Katabole Technology Venture",1,6700000
"Sudhir Mehta",1,6700000
"Rajeev Agrawal, Prashant Gooty",1,6700000
"Daman Soni, Rajat Gupta & Others",1,6700000
"Devidas Desai, Vipul Gautam, Singapore Angel Network",1,6700000
"Samir Bangara, Anisha Mittal, Amit Gupta, Pallav Nadhani, Lalit Mangal, Arihant Patni, Dr. Ritesh Malik, Deobrat Singh, Saurab Paruthi, Singapore Angel Network.",1,6700000
"Newbie Promoter Pvt Ltd",1,6700000
"Shiva Ashok & Other unnamed investors",1,6700000
"Mohammed Khan, Sameer Narayan & Others",1,6533000
"Philippe Bouchet",1,6533000
"Vinod Martin, Evan Lim, Kanchan Ghoshal, Ram Kumar Kakani",1,6533000
"Gopal Aggarwal",1,6408000
"Anil Menon",1,6408000
"Aarti Group",1,6408000
"Alok Bajpai, Rajnish Kumar, Amit Dey",1,6408000
"Tania Johny Palathinkal",1,6408000
"Ashish Jhalani",1,6408000
"Ajeet Khurana & Others",1,6408000
"Jitendra Gupta & others",1,6408000
"Sumit Gandhi, Manish Gandhi",1,6408000
"Anand Vijay, Nipun Dureja, Satyajit Heeralal, Keith Rodricks, Gaurav Lochan, Azmul Haque, Nikhil Bagri",1,6408000
"Devdeep Singh",1,6030000
"Puneet Bhatia & others",1,5126400
"Neha Vats, Gaurav Vats",1,5126400
"Suyash Sharma",1,4934160
"Unnamed investor",1,4934160
"Jitendra Gupta, Pankaj Tripathi",1,3350000
"Harsh Vardhan Hada",1,3350000
"Mukesh Kumar Gupta",1,3350000
"Satoshi Studios",1,3266500
"Vinod Martin, Hemant Kaul, Prof. Ram Kumar Kakani & Others",1,3266500
"A M Sikander",1,3015000
"GBIM Technologies Pvt Ltd",1,3015000
"Swastika Company Ltd.",1,2680000
"Mahendra Patel, Nilender Chauhan",1,2680000
"SaÃ¯d Business School Seed Fund.",1,2680000
"Facebook FB Start programme",1,2613200
"Viridian Capital",1,2010000
"Naveen Gupta",1,2010000
"Ingram Content Group",1,2010000
"Oranda Global & Others",1,2010000
"National Science and Technology Entrepreneurship Development Board",1,1959900
"Promatus Group",1,1809000
"Not Disclosed",1,1281600
"Triton Investment Advisors",1,0
"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",1,0
"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",1,0
"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",1,0
"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",1,0
"Corvus Ventures, MAPE Advisory Group",1,0
"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",1,0
"One97 Communication Ltd",1,0
"Uber Technologies Inc, Amaya Capital LLP",1,0
"Francesco Cara",1,0
"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others",1,0
"Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan",1,0
"Blume Ventures, NB Ventures, Nspira",1,0
"Amen Dhyllon",1,0
