year,month,industryvertical,total_funding
2015,Oct,"Personal Diagnostic Mobile App",9612000
2015,Oct,"Personalized Stock Intelligence Platform",0
2015,Oct,"Personalized Wish List creator app",3204000
2015,Oct,"Premium Apparel shopping portal",9612000
2015,Oct,"Prepaid Bill manager App",0
2015,Oct,"Product Discovery & comparison App",0
2015,Oct,"Product discovery & recommendation platform",128160000
2015,Oct,"Professional Health Services Platform",22428000
2015,Oct,"Professional Services Marketplace",0
2015,Oct,"Professionals & Project Search Marketplace",32040000
2015,Oct,"proximity marketing & Mobile Advertising platform",5126400
2015,Oct,"Psychometric Test Online Software",0
2015,Oct,"Public Commute helper App",28836000
2015,Oct,"QSR & Online delivery portal",32040000
2015,Oct,"Raw Meat & Ready to eat food etailer",4934160
2015,Oct,"Real Estate Insights platform",0
2015,Oct,"Real Estate Mobile CRM",189036000
2015,Oct,"Rental Accommodation Search platform",640800000
2015,Oct,"residential rental management platform",41011200
2015,Oct,"Ride Sharing platform",12175200
2015,Oct,"Ridesharing Mobile app",8330400
2015,Oct,"Sports Management & Physical Education Business",640800000
2015,Oct,"Startup Funding Marketplace",0
2015,Oct,"Structural & Civil Engg Service Automation",64080000
2015,Oct,"Travel Destination Discovery platform",6408000
2015,Oct,"Truck Aggregator & Logistics service",0
2015,Oct,"Virtual Reality activity based learning platform",12816000
2015,Sep,"Activity Based Social Network",0
2015,Sep,"B2B Mobile Auction Marketplace",28836000
2015,Sep,"Beauty & Wellness Services Marketplace",0
2015,Sep,"Big Data Management Platform",320400000
2015,Sep,"Branded Budget Hotel Marketplace",19224000
2015,Sep,"Budget Accommodation Platform",64080000
2015,Sep,"Cab Booking app platform",1922400000
2015,Sep,"Chain of Tea CafÃ©â€™s",64080000
2015,Sep,"Cloud-based Hotel Booking Platform",128160000
2015,Sep,"Community Driven News/Views Platform",38448000
2015,Sep,"Consumer lending marketplace",0
2015,Sep,"Content-based Subscription eCommerce platform",0
2015,Sep,"coupons and cashback aggregator app",8010000
2015,Sep,"Cross-device retargeting platform",76896000
2015,Sep,"Dairy Based Product Manufacturer",115344000
2015,Sep,"Data Driven Publishing platform",211464000
2015,Sep,"Designer Merchandize Marketplace",0
2015,Sep,"Diagnostic Labs aggregator platform",9612000
2015,Sep,"Digital & Physical Publishing platform",144180000
2015,Sep,"Digital Signal processing platform",64080000
2015,Sep,"Doctor consultancy Mobile App",0
2015,Sep,"Early Cancer Detection Solutions",192240000
2015,Sep,"ECommerce Brandsâ€™ Full Service Agency",6408000
2015,Sep,"ECommerce Data Analytics Platform",0
2015,Sep,"Ecommerce Product recommendation platform",0
2015,Sep,"Employee OnBoarding & Orientation platform",25632000
2015,Sep,"End-to-end Logistics platform",640800000
2015,Sep,"Fashion Discovery platform",22428000
2015,Sep,"Financial Products lead generation platform",0
2015,Sep,"Financial Services Portal",192240000
2015,Sep,"FinTech Startup Incubation platform",6408000
2015,Sep,"Food Delivery Platform",112140000
2015,Sep,"Food discovery & table booking app",0
2015,Sep,"Food Subscription platform",640800000
2015,Sep,"Government Test Preparation platform",25632000
2015,Sep,"Gym & Fitness Studios Subscription platform",6408000
2015,Sep,"Healthcare Consulting platform",0
2015,Sep,"Home Design & DÃ©cor platform",0
2015,Sep,"Home Fitting & Fixtures Marketplace",0
2015,Sep,"Hyperlocal Delivery Platform",0
2015,Sep,"Hyperlocal Delivery Services",576720000
2015,Sep,"Industrial Tools Marketplace",589536000
2015,Sep,"Internet of Things platform",9612000
2015,Sep,"Job Search Platform",16660800
2015,Sep,"Local Mobile OS",0
2015,Sep,"Luxury goodsÂ  Shopping Platform",57672000
2015,Sep,"Mobile App testing platform",76896000
2015,Sep,"Mobile Marketing Automation Platform",272340000
2015,Sep,"Multilingual Test Preparation Platform",49341600
2015,Sep,"Non Profit Organization to alleviate poverty",20185200
2015,Sep,"Online Bus & Cab ticketing platform",0
2015,Sep,"Online Food ordering & delivery",38448000
2015,Sep,"Online Health & Wellness platform",73692000
2015,Sep,"Online Insurance Distribution Platform",128160000
2015,Sep,"Online Interior Designing platform",25632000
2015,Sep,"online meal-booking platform for train travelers",0
2015,Sep,"Online Meat Ordering platform",64080000
2015,Sep,"Online Movie Review Platform",9612000
2015,Sep,"Payment Services platform",0
2015,Sep,"Personalized Styling platform",64080000
2015,Sep,"Pre-owned games Marketplace",0
2015,Sep,"pre-used apparel shopping mobile app",64080000
2015,Sep,"pre-used luxury item Marketplace",0
2015,Sep,"Prepaid Mobile Bill Manager App",0
2015,Sep,"Private Label Apparel sales",19224000
2015,Sep,"Real Estate Broker Platform App",22428000
2015,Sep,"Real-Time stock data platform",15058800
2015,Sep,"Smart Report Cards for Schools",0
2015,Sep,"Solar Power Solutions company",128160000
2015,Sep,"Stock Market Portal",0
2015,Sep,"Study Material Marketplace",13136400
2015,Sep,"Sustainable Agri-inputs Firm",0
2015,Sep,"Teacher empowerment platform",0
2015,Sep,"Used Vehicles Marketplace",961200000
2015,Sep,"virtual reality, 3d simulation and stereoscopic products",51264000
2015,Sep,"Wedding Planning Platform",26272800
2016,Apr,Auto,0
2016,Apr,"Consumer Internet",7818230000
2016,Apr,eCommerce,2385200000
2016,Apr,Education,0
2016,Apr,Finance,0
2016,Apr,"Food & Beverage",36850000
2016,Apr,Healthcare,0
2016,Apr,Logistics,67000000
2016,Apr,Technology,6700000
2016,Aug,"Consumer Internet",6100551000
2016,Aug,eCommerce,1832115000
2016,Aug,Education,60300000
2016,Aug,"Food & Beverage",67000000
2016,Aug,Healthcare,201000000
2016,Aug,Logistics,25125000
2016,Aug,Others,2680000
2016,Aug,Technology,2437192000
2016,Dec,"Consumer Internet",4243177000
2016,Dec,eCommerce,1608804000
2016,Dec,"Food & Beverage",134000000
2016,Dec,Logistics,670000000
2016,Dec,Technology,3544300000
2016,Feb,"Consumer Internet",4179326000
2016,Feb,ECommerce,2814000000
2016,Feb,Education,335000000
2016,Feb,Finance,33500000
2016,Feb,"Food & Beverage",67000000
2016,Feb,Healthcare,0
2016,Feb,"Real Estate",0
2016,Feb,Technology,1382545000
2016,Jan,BFSI,0
2016,Jan,"Consumer Interne",0
2016,Jan,"Consumer Internet",5845750000
2016,Jan,ECommerce,3681650000
2016,Jan,Education,267665000
2016,Jan,Finance,234500000
2016,Jan,FMCG,24790000
2016,Jan,"Food & Beverage",402000000
2016,Jan,Healthcare,278050000
2016,Jan,"Real Estate",0
2016,Jan,Technology,2992555000
2016,Jul,"Consumer Internet",3989314000
2016,Jul,eCommerce,2836780000
2016,Jul,Finance,1072000000
2016,Jul,"Food & Beverage",0
2016,Jul,Healthcare,0
2016,Jul,Logistics,173865000
2016,Jul,Technology,2081690000
2016,Jun,"Consumer Internet",6348451000
2016,Jun,eCommerce,3021700000
2016,Jun,Education,268000000
2016,Jun,FMCG,10050000
2016,Jun,"Food & Beverage",24656000
2016,Jun,Healthcare,134000000
2016,Jun,Logistics,402000000
2016,Jun,Others,210916000
2016,Jun,"Real Estate",0
2016,Jun,Technology,2958050000
2016,Mar,"Consumer Internet",890296000
2016,Mar,ECommerce,906081736
2016,Mar,Education,67000000
2016,Mar,Finance,314900000
2016,Mar,"Food & Beverage",844200000
2016,Mar,Healthcare,308200000
2016,Mar,Logistics,998300000
2016,Mar,"Real Estate",167500000
2016,Mar,Technology,1169150000
2016,May,"Consumer Internet",4809863000
2016,May,eCommerce,489100000
2016,May,Education,737000000
2016,May,"Food & Beverage",0
2016,May,Healthcare,110550000
2016,May,Logistics,152425000
2016,May,Reality,67000000
2016,May,Technology,2333342000
2016,Nov,"Consumer Internet",4249207000
2016,Nov,eCommerce,2389086000
2016,Nov,Finance,67000000
2016,Nov,"Food & Beverage",14606000
2016,Nov,Logistics,67000000
2016,Nov,Technology,1922900000
2016,Oct,"Consumer Internet",7329934000
2016,Oct,eCommerce,1157425000
2016,Oct,Finance,402000000
2016,Oct,Logistics,0
2016,Oct,Others,1072000000
2016,Oct,Technology,2597657000
2016,Sep,"Consumer Internet",2470826000
2016,Sep,eCommerce,4016181000
2016,Sep,Education,446890000
2016,Sep,Technology,2470290000
2017,Apr,"Consumer Internet",5022243750
2017,Apr,eCommerce,1861905000
2017,Apr,Education,535706000
2017,Apr,"Food & Beverage",587970000
2017,Apr,"Food & Beverages",11432750
2017,Apr,Healthcare,1371930000
2017,Apr,Logistics,293985000
2017,Apr,Technology,2230692850
2017,Aug,"Consumer Internet",88195500
2017,Aug,Technology,84929000
2017,Feb,"Consumer Internet",5597147750
2017,Feb,ECommerce,1949055220
2017,Feb,Finance,0
2017,Feb,Technology,1028947500
2017,Jan,"Consumer Internet",2996164460
2017,Jan,ecommerce,981125940
2017,Jan,Logistics,849290000
2017,Jan,Technology,2113654155
2017,Jul,"Consumer Internet",2832970120
2017,Jul,eCommerce,3749942000
2017,Jul,Logistics,0
2017,Jul,Others,0
2017,Jul,Technology,2086640200
2017,Jun,"Consumer Internet",6177474140
2017,Jun,eCommerce,307769630
2017,Jun,Healthcare,65330000
2017,Jun,Technology,4789668950
2017,Mar,"Consumer Internet",3894386630
2017,Mar,ECommerce,1404595000
2017,Mar,Healthcare,1302876190
2017,Mar,Logistics,979950000
2017,Mar,Technology,4065289910
2017,May,"Consumer Internet",2340055270
2017,May,eCommerce,1920702000
2017,May,Finance,522640000
2017,May,"Food & Beverage",65330000
2017,May,Logistics,2613200000
2017,May,Technology,917886500
