citylocation,industryvertical,total_funding
Vadodara,"Product Customization Platform",0
Goa/Hyderabad,"Talent platform for Fashion professionals",0
Mumbai,"Hyperlocal Logistics Service Provider",0
Bangalore,"On Demand Laundry Service platform",0
Hyderabad,"Home Improvement Service platform",0
Bangalore,"Express local delivery platform",0
"New Delhi","On-Demand Local Logistics provider",0
"New Delhi","Curated Freelancer Marketplace",0
Noida,"Online Taxi Rental Platform",0
Bangalore,"Online Gourmet Food Marketplace",0
Mumbai,"ecommerce related software product platform",0
"New Delhi","Home Healthcare Services platform,",0
"New Delhi","Automotive Services platform",0
"Chennai/ Singapore","Big Data Analytics Platform",0
Chennai,"Content Management Software Solutions",0
Bangalore,"Online Lending Marketplace",0
Bangalore,"On Demand Beauty Services Platform",0
Noida,"Education Content etailer",0
Chennai,"Clud based Learning platform",0
"New Delhi","Talent Exchange & Talent Services Marketplace",0
"New Delhi","Mobile Application Developer",0
"New Delhi","extra curricular activities marketplace app",0
Bangalore,"Hyperlocal Online Home services provider",0
Gurgaon,"Easy Business Loans platform",0
"New Delhi","Performance based Wholesale Marketplace",0
Gurgaon,"Professional Services Marketplace",0
Hyderabad,"bus ticketing and fleet management platform",0
"New Delhi","Online Income Tax Filing platform",0
Pune,"multi-sport program for preschoolers",0
Mumbai,"Organic Food etailer",0
Pune,"Product Discovery & comparison App",0
"New Delhi","Online Apparels Fashion brand",0
"Pune / Singapore","Hotel Mobile CRM Software platform",0
"New Delhi","Doctors Network Mobile App",0
Bangalore,"360-degree view creating platform",0
Gurgaon,"Online P2P lending marketplace",0
Mumbai,"B2B marketplace for industrial goods",0
"New Delhi","global community for travellers",0
Bangalore,"Prepaid Bill manager App",0
Mumbai,"Music Streaming mobile app",0
Mumbai,"Gym Discovery platform",0
Bangalore,"Online Purchase rewards app",0
Gurgaon,"Home rental platform",0
"New Delhi","Crowdsourced Delivery platform",0
"New Delhi","Real Estate Insights platform",0
Bangalore,"Startup Funding Marketplace",0
Bangalore,"Order Fulfillment SAAS platform",0
Mumbai,"Gourmet Meals Delivery",0
Bangalore,"Healthy Meals Food delivery platform",0
Bangalore,"Personalized Stock Intelligence Platform",0
Pune,"Psychometric Test Online Software",0
Gurgaon,"Online user engagement platform",0
Bangalore,"Online Grocery Store",0
Mumbai,"Investment management platform",0
Noida,"Industrial Toons Marketplace",0
Bangalore,"Artificial Intelligence Ecommerce Chatbot",0
Bangalore,"Truck Aggregator & Logistics service",0
Chandigarh,"Payment Services platform",0
Mumbai,"Doctor consultancy Mobile App",0
Mumbai,"Beauty & Wellness Services Marketplace",0
Chennai,"Smart Report Cards for Schools",0
Bangalore,"Teacher empowerment platform",0
Mumbai,"pre-used luxury item Marketplace",0
"New Delhi","Home Design & D̩cor platform",0
Hyderabad,"Online Bus & Cab ticketing platform",0
Bangalore,"Prepaid Mobile Bill Manager App",0
Bangalore,"Home Fitting & Fixtures Marketplace",0
Bangalore,"ECommerce Data Analytics Platform",0
Mumbai,"Designer Merchandize Marketplace",0
Bangalore,"Hyperlocal Delivery Platform",0
Mumbai,"Food discovery & table booking app",0
Mumbai,"Financial Products lead generation platform",0
Bangalore,"Sustainable Agri-inputs Firm",0
"New Delhi","Pre-owned games Marketplace",0
"New Delhi","Content-based Subscription eCommerce platform",0
Gurgaon,"Healthcare Consulting platform",0
Bangalore,"Stock Market Portal",0
"New Delhi","online meal-booking platform for train travelers",0
"New Delhi","hyperlocal delivery platform",0
Pune,"Ecommerce Product recommendation platform",0
Chennai,"Activity Based Social Network",0
Bangalore,"Consumer lending marketplace",0
Gurgaon,"Local Mobile OS",0
"New Delhi","Tech-enabled learning",0
Mumbai,"on-demand home beauty and wellness portal",0
Mumbai,"Self Driven Car rental",0
Bangalore,"Energy & Environment Online Marketplace",0
"New Delhi","Rental Accomodation finder",0
Bangalore,"Luxury Apparel rental",0
"New Delhi","anonymous bulletin board app",0
"New Delhi","Travel community platform",0
Mumbai,"Car & Bike ecommerce platform",0
Mumbai,"Energy saving solutions provider",0
Noida,"Self-Storage Spaces",0
"New Delhi","Grocery retail Mobile app",0
"New Delhi/ Houston","Machine Learning Platform",0
Mumbai,"Digital Marketing automation solution",0
"New Delhi","On-Demand Beauty Services",0
Mumbai,"Startup Focused Online Publisher",0
Bangalore,"App based Fitness coaching",0
Mumbai,"On demand cleaning & fixing services",0
"New Delhi","Beauty & Lifestyle platform",0
"New Delhi","Car & Bike ecommerce platform",0
Gurgaon,"Location based engagement & rewards platform",0
Mumbai,"Online Identity Verification Services platform",0
Kolkata,"Fashion Search & Review Platform",0
Mumbai,"pre-owned Luxury online apparel seller",0
Kolkata,"Scientific Horoscope Online Assistance platform",0
Mumbai,"Tech enabled AC bus service",0
Ahmedabad,"solar products and services marketplace",0
Bangalore,"Private Cloud Networks SAAS platform",0
Kolkata,"Education Marketplace",0
"New Delhi","Cloud Based Hotel Sales Platform",0
"New Delhi","online recipe sharing platform",0
Gurgaon,"Digital Media publishing platform",0
Mumbai,"Big Data & predictive Analysis Platform",0
Mumbai,"Business IT Intelligence Services",0
"New Delhi","Ed-Tech Platform",0
Bangalore,"Cab rental Mobile app",0
Mumbai,"Mobile Fitness Marketplace",0
Bangalore,"P2P Pre-owned goods marketplace",0
Bangalore,"Online Tailoring Services",0
Bangalore,"Rail Ticket Confirmation predictor",0
Nagpur,"Hyperlocal Goods marketplace",0
Bangalore,"Food Delivery platform",0
"New Delhi","Financial Tech",0
Pune,"Food Discovery App",0
Coimbatore,"Electric Scooter manufacturer",0
Gurgaon,"Fashion Info Aggregator App",0
"New Delhi","Online Study Notes Marketplace",0
Gurgaon,"Online Grocery Delivery",0
"New Delhi","Live video streaming app",0
Bangalore,"Online Hiring Platform",0
Mumbai,"Casual Dating App",0
"New Delhi","Private Jet/ Helicopter Marketplace",0
"New Delhi","Ethnic/ Traditional Fashion Store",0
Bangalore,"B2B logistics delivery platform",0
Bangalore,"Logistics Automation Platform",0
Chennai,"On-Demand Laundry & Dry cleaning App",0
Bangalore,"On-Demand Car services App",0
Bangalore,"Online Curated Holiday package bookings",0
"New Delhi","Beauty and Wellness Platform",0
Mumbai,"Used two-wheeler Marketplace",0
Udaipur,"Tech-enabled Rural Healthcare Services",0
Mumbai,"Engineering Innovations",0
"New Delhi","P2P Payments platform",0
Gurgaon,"Women Lifestyle Marketplace",0
"New Delhi","Artist / Designer Marketplace",0
"New Delhi","Online Printing Services",0
Mumbai,"Travel Guide Mobile App",0
Bangalore,"Skill Training & Placement Platform",0
Mumbai,"online tiffin service aggregator",0
Delhi,"Electronic Goods recycling service",0
Mumbai,"Parents & Kids Online platform",0
Bangalore,"Online Grocery platform",0
"New Delhi","On-Demand Logistics Service",0
Bangalore,"Health & Fitness App",0
Bangalore,"Online Education Marketplace",0
Gurgaon,"Travel Search Engine",0
Chennai,"Brain Games Platform",0
"New Delhi / California","Algorithmic Match Making Platform",0
Hyderabad,"Preventive healthcare services",0
Bangalore,"Science Learning App",0
Chennai,"Beauty and Wellness platform",0
Noida,"Online Education Platform",0
Bangalore,"Beauty services Mobile Marketplace",0
Bangalore,"Online Lingerie platform",0
Bangalore,"Railways Information Mobile app",0
Gurgaon,"Hyperlocal grocery delivery",0
Mumbai,"Customer Engagement Platform",0
Chennai,"Speech Recognition Solutions",0
"New Delhi","Online Education Platform",0
Mumbai,"Service-On-Demand Mobile App",0
Noida,"Intelligent Data Analytics",0
Mumbai,"Online Office Rental",0
Bangalore,"Online News Media",0
Ahmedabad,"Enterprise Communication Platform",0
"NA(Not Available)","Online Travel Planning",0
"New Delhi","Rooftop Solar Plants",0
Jaipur,"Online Car Portal",0
Bangalore,"Online Payment Gateway",0
"New Delhi","Payments Solution Provider",0
Hyderabad,"Weight Management Service",0
Mumbai,Ed-Tech,0
Chennai,"Mobile Health Tech",0
Mumbai,"On-Demand Handyman Services",0
Gurgaon,"Beauty & Wellness Mobile App",0
"New Delhi","Restaurant reservation app",0
"New Delhi","Spam Call block App",0
"New Delhi","Clean Tech",0
Bangalore,"Online Furniture ecommerce",0
Bangalore,"Mobile Food Ordering app",0
